2022-10-07 08:54:55 status half-installed libpam-modules-bin:amd64 1.4.0-9+deb11u1
2022-10-07 08:54:55 status unpacked libpam-modules-bin:amd64 1.4.0-9+deb11u1
2022-10-07 08:54:55 install libpam-runtime:all <none> 1.4.0-9+deb11u1
2022-10-07 08:54:55 status half-installed libpam-runtime:all 1.4.0-9+deb11u1
2022-10-07 08:54:55 status unpacked libpam-runtime:all 1.4.0-9+deb11u1
2022-10-07 08:54:56 install libpam0g:amd64 <none> 1.4.0-9+deb11u1
2022-10-07 08:54:56 status half-installed libpam0g:amd64 1.4.0-9+deb11u1
2022-10-07 08:54:56 status unpacked libpam0g:amd64 1.4.0-9+deb11u1
2022-10-07 08:54:56 install libpcre2-8-0:amd64 <none> 10.36-2+deb11u1
2022-10-07 08:54:56 status half-installed libpcre2-8-0:amd64 10.36-2+deb11u1
2022-10-07 08:54:56 status unpacked libpcre2-8-0:amd64 10.36-2+deb11u1
2022-10-07 08:54:56 install libpcre3:amd64 <none> 2:8.39-13
2022-10-07 08:54:56 status half-installed libpcre3:amd64 2:8.39-13
2022-10-07 08:54:56 status unpacked libpcre3:amd64 2:8.39-13
2022-10-07 08:54:56 upgrade perl-base:amd64 5.32.1-4+deb11u2 5.32.1-4+deb11u2
2022-10-07 08:54:56 status half-configured perl-base:amd64 5.32.1-4+deb11u2
2022-10-07 08:54:56 status unpacked perl-base:amd64 5.32.1-4+deb11u2
2022-10-07 08:54:56 status half-installed perl-base:amd64 5.32.1-4+deb11u2
2022-10-07 08:54:57 status unpacked perl-base:amd64 5.32.1-4+deb11u2
2022-10-07 08:54:57 install sed:amd64 <none> 4.7-1
2022-10-07 08:54:57 status half-installed sed:amd64 4.7-1
2022-10-07 08:54:57 status unpacked sed:amd64 4.7-1
2022-10-07 08:54:57 install login:amd64 <none> 1:4.8.1-1
2022-10-07 08:54:57 status half-installed login:amd64 1:4.8.1-1
2022-10-07 08:54:57 status unpacked login:amd64 1:4.8.1-1
2022-10-07 08:54:57 install passwd:amd64 <none> 1:4.8.1-1
2022-10-07 08:54:57 status half-installed passwd:amd64 1:4.8.1-1
2022-10-07 08:54:58 status unpacked passwd:amd64 1:4.8.1-1
2022-10-07 08:54:58 install libsystemd0:amd64 <none> 247.3-7+deb11u1
2022-10-07 08:54:58 status half-installed libsystemd0:amd64 247.3-7+deb11u1
2022-10-07 08:54:58 status unpacked libsystemd0:amd64 247.3-7+deb11u1
2022-10-07 08:54:58 install libudev1:amd64 <none> 247.3-7+deb11u1
2022-10-07 08:54:58 status half-installed libudev1:amd64 247.3-7+deb11u1
2022-10-07 08:54:58 status unpacked libudev1:amd64 247.3-7+deb11u1
2022-10-07 08:54:58 install sysvinit-utils:amd64 <none> 2.96-7+deb11u1
2022-10-07 08:54:58 status half-installed sysvinit-utils:amd64 2.96-7+deb11u1
2022-10-07 08:54:58 status unpacked sysvinit-utils:amd64 2.96-7+deb11u1
2022-10-07 08:54:58 install tar:amd64 <none> 1.34+dfsg-1
2022-10-07 08:54:58 status half-installed tar:amd64 1.34+dfsg-1
2022-10-07 08:54:58 status unpacked tar:amd64 1.34+dfsg-1
2022-10-07 08:54:58 install tzdata:all <none> 2021a-1+deb11u5
2022-10-07 08:54:58 status half-installed tzdata:all 2021a-1+deb11u5
2022-10-07 08:54:59 status unpacked tzdata:all 2021a-1+deb11u5
2022-10-07 08:54:59 install bsdutils:amd64 <none> 1:2.36.1-8+deb11u1
2022-10-07 08:54:59 status half-installed bsdutils:amd64 1:2.36.1-8+deb11u1
2022-10-07 08:55:00 status unpacked bsdutils:amd64 1:2.36.1-8+deb11u1
2022-10-07 08:55:00 install libblkid1:amd64 <none> 2.36.1-8+deb11u1
2022-10-07 08:55:00 status half-installed libblkid1:amd64 2.36.1-8+deb11u1
2022-10-07 08:55:00 status unpacked libblkid1:amd64 2.36.1-8+deb11u1
2022-10-07 08:55:00 install libmount1:amd64 <none> 2.36.1-8+deb11u1
2022-10-07 08:55:00 status half-installed libmount1:amd64 2.36.1-8+deb11u1
2022-10-07 08:55:00 status unpacked libmount1:amd64 2.36.1-8+deb11u1
2022-10-07 08:55:00 install libsmartcols1:amd64 <none> 2.36.1-8+deb11u1
2022-10-07 08:55:00 status half-installed libsmartcols1:amd64 2.36.1-8+deb11u1
2022-10-07 08:55:00 status unpacked libsmartcols1:amd64 2.36.1-8+deb11u1
2022-10-07 08:55:00 install libuuid1:amd64 <none> 2.36.1-8+deb11u1
2022-10-07 08:55:00 status half-installed libuuid1:amd64 2.36.1-8+deb11u1
2022-10-07 08:55:00 status unpacked libuuid1:amd64 2.36.1-8+deb11u1
2022-10-07 08:55:00 install mount:amd64 <none> 2.36.1-8+deb11u1
2022-10-07 08:55:00 status half-installed mount:amd64 2.36.1-8+deb11u1
2022-10-07 08:55:00 status unpacked mount:amd64 2.36.1-8+deb11u1
2022-10-07 08:55:00 install util-linux:amd64 <none> 2.36.1-8+deb11u1
2022-10-07 08:55:00 status half-installed util-linux:amd64 2.36.1-8+deb11u1
2022-10-07 08:55:01 status unpacked util-linux:amd64 2.36.1-8+deb11u1
2022-10-07 08:55:01 install libxxhash0:amd64 <none> 0.8.0-2
2022-10-07 08:55:01 status half-installed libxxhash0:amd64 0.8.0-2
2022-10-07 08:55:01 status unpacked libxxhash0:amd64 0.8.0-2
2022-10-07 08:55:01 install liblzma5:amd64 <none> 5.2.5-2.1~deb11u1
